Local de trabalho,Nível mais alto de educação,Cargo/Posição,Tipo de empresa,Tamanho da empresa,Indústria,Anos de experiência,Faixa Salarial (Mensal e Líquido),Sexo
Maputo Cidade,Licenciatura,Administrador de Base de Dados,Privada,Média,Banca,Mais de 10 anos,151.000 - 200.000MT,Masculino
Maputo Cidade,Mestrado,Scrum Master,Privada,Grande/Corporação,Comunicação,2 - 3 anos,51.000 - 80.000MT,Feminino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Pública,Grande/Corporação,Banca,6 - 10 anos,210.000MT - 260.000MT,Masculino
Manica,Licenciatura,Administrador de Sistemas,ONG,Grande/Corporação,Saúde,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Full Stack Developer,Privada,Grande/Corporação,Comunicação,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,IT assistance,ONG,Grande/Corporação,Alimentação,0 - 1 anos,81.000 - 100.000MT,Feminino
Maputo Cidade,Ensino Médio (Técnico),Administrador de Sistemas,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Grande/Corporação,Banca,4 - 5 anos,21.000 - 50.000MT,Masculino
Sofala,Licenciatura,Administrador de Sistemas,Privada,Grande/Corporação,Transportes,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Mestrado,Tech lead,ONG,Média,Educação,4 - 5 anos,151.000 - 200.000MT,Feminino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Pequena/Startup,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Gestor de projectos,Privada,Grande/Corporação,Banca,4 - 5 anos,210.000MT - 260.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Programador,Privada,Pequena/Startup,IT,2 - 3 anos,6.000 - 10.000MT,Masculino
Cabo Delgado,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Recursos minerais,6 - 10 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Mestrado,Data Scientist,Privada,Grande/Corporação,Comunicação,6 - 10 anos,151.000 - 200.000MT,Masculino
Sofala,Ensino médio (12a Classe),Back-End Developer,ONG,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Administrador de redes,Pública,Média,Educação,0 - 1 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Privada,Média,Catering,0 - 1 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Help Desk Technician,Privada,Média,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Help Desk Technician,Privada,Pequena/Startup,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Pequena/Startup,IT,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo província,Licenciatura,Analista de sistemas,ONG,Grande/Corporação,Comunicação,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Sofala,Licenciatura,Administrador de redes,Privada,Média,IT,0 - 1 anos,51.000 - 80.000MT,Masculino
Maputo província,Licenciatura,Administrador de Sistemas,Privada,Pequena/Startup,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo província,Ensino médio (12a Classe),Programador,Privada,Média,IT,Mais de 10 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Tecnico,Pública,Grande/Corporação,Educação,6 - 10 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Programador,Pública,Grande/Corporação,Saúde,6 - 10 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Pequena/Startup,IT,0 - 1 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Média,Comércio,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo província,Ensino Médio (Técnico),Help Desk Technician,Privada,Média,Saúde,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo província,Ensino Médio (Técnico),Help Desk Technician,Privada,Grande/Corporação,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,Privada,Grande/Corporação,Comunicação,0 - 1 anos,51.000 - 80.000MT,Masculino
Sofala,Ensino médio (12a Classe),Programador,Privada,Pequena/Startup,IT,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo província,Licenciatura,Full Stack Developer,Privada,Pequena/Startup,IT,0 - 1 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Administrador de Sistemas,Privada,Média,IT,4 - 5 anos,81.000 - 100.000MT,Feminino
Maputo Cidade,Licenciatura,Analista de sistemas,Privada,Grande/Corporação,Banca,2 - 3 anos,81.000 - 100.000MT,Feminino
Cabo Delgado,Licenciatura,Administrador de redes,Privada,Grande/Corporação,Recursos minerais,2 - 3 anos,151.000 - 200.000MT,Masculino
Maputo Cidade,Licenciatura,Front-End Developer,Privada,Grande/Corporação,IT,0 - 1 anos,21.000 - 50.000MT,Feminino
Maputo província,Licenciatura,Back-End Developer,Privada,Pequena/Startup,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Média,Banca,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Front-End Developer,Privada,Pequena/Startup,IT,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de redes,Pública,Grande/Corporação,Saúde,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo província,Ensino Médio (Técnico),Help Desk Technician,Privada,Média,Construção civil,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Banca,6 - 10 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,UI/UX Designer,Privada,Média,Consultoria,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Grande/Corporação,Saúde,2 - 3 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de redes,Privada,Média,Banca,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Help Desk Technician,Privada,Média,IT,4 - 5 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Licenciatura,Engenheiro de Software,Privada,Grande/Corporação,Banca,2 - 3 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Comunicação,2 - 3 anos,110.000 - 150.000MT,Masculino

Maputo Cidade,Licenciatura,Analista de sistemas,Privada,Grande/Corporação,Comunicação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Full Stack Developer,Privada,Pequena/Startup,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Privada,Média,Comunicação,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Analista de sistemas,Privada,Grande/Corporação,IT,2 - 3 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Front-End Developer,Privada,Média,Saúde,0 - 1 anos,0 - 5.000MT,Masculino
Maputo Cidade,Licenciatura,Help Desk Technician,Privada,Média,Banca,Mais de 10 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Técnico de Informática,Privada,Média,IT,Mais de 10 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Média,Educação,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Help Desk Technician,ONG,Grande/Corporação,Educação,0 - 1 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Front-End Developer,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo província,Mestrado,Analista de sistemas,Privada,Grande/Corporação,Consultoria de gestão,2 - 3 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Licenciatura,Front-End Developer,Privada,Grande/Corporação,Banca,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de redes,Privada,Grande/Corporação,Banca,2 - 3 anos,51.000 - 80.000MT,Masculino
Sofala,Ensino médio (12a Classe),Help Desk Technician,ONG,Pequena/Startup,Sociativismo,4 - 5 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Business Intelligence Developer,Privada,Grande/Corporação,IT,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Mobile Developer,Privada,Grande/Corporação,Comunicação,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Privada,Grande/Corporação,Banca,6 - 10 anos,81.000 - 100.000MT,Masculino
Maputo província,Licenciatura,Programador,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Programador,Privada,Pequena/Startup,IT,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo província,Licenciatura,Front-End Developer,Privada,Pequena/Startup,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Mestrado,Analista de sistemas,ONG,Média,Saúde,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Grande/Corporação,Banca,0 - 1 anos,21.000 - 50.000MT,Masculino
Sofala,Licenciatura,Help Desk Technician,Privada,Grande/Corporação,Casas de jogos de fortuna e azar,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Mobile Developer,Privada,Pequena/Startup,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Tech lead,Privada,Média,IT,6 - 10 anos,81.000 - 100.000MT,Masculino
Maputo província,Licenciatura,Administrador de redes,Privada,Grande/Corporação,Comunicação,4 - 5 anos,21.000 - 50.000MT,Masculino
Cabo Delgado,Licenciatura,Business Intelligence Developer,Privada,Grande/Corporação,Recursos minerais,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Médica,Privada,Média,Saúde,4 - 5 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Ensino médio (12a Classe),UI/UX Designer,Privada,Pequena/Startup,IT,6 - 10 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Publicitária,Privada,Média,Comunicação,Mais de 10 anos,81.000 - 100.000MT,Feminino
Maputo Cidade,Mestrado,Data Scientist,Privada,Pequena/Startup,Educação,6 - 10 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Programador,Privada,Pequena/Startup,Educação,2 - 3 anos,11.000 - 20.000MT,Masculino
Nampula,Licenciatura,Full Stack Developer,Privada,Pequena/Startup,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Full Stack Developer,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Sofala,Licenciatura,Administrador de Sistemas,Privada,Pequena/Startup,IT,6 - 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Product manager,Privada,Pequena/Startup,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Analista de sistemas,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de redes,Pública,Grande/Corporação,IT,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Help Desk Technician,Privada,Pequena/Startup,Construcao,2 - 3 anos,11.000 - 20.000MT,Feminino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Média,Comunicação,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo província,Licenciatura,Administrador de Sistemas,Privada,Grande/Corporação,Comunicação,6 - 10 anos,21.000 - 50.000MT,Masculino
Maputo província,Mestrado,Administrador de redes,Privada,Média,Educação,Mais de 10 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Licenciatura,Administrador de redes,Pública,Grande/Corporação,Comunicação,Mais de 10 anos,21.000 - 50.000MT,Masculino
Maputo província,Licenciatura,Programador,Privada,Grande/Corporação,IT,4 - 5 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,Privada,Grande/Corporação,Comunicação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Programador,Pública,Grande/Corporação,Comunicação,0 - 1 anos,6.000 - 10.000MT,Masculino
Sofala,Licenciatura,Administrador de redes,Privada,Grande/Corporação,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Full Stack Developer,ONG,Média,Comunicação,4 - 5 anos,21.000 - 50.000MT,Masculino
Sofala,Licenciatura,Administrador de Sistemas,Privada,Grande/Corporação,Comunicação,6 - 10 anos,51.000 - 80.000MT,Masculino
Inhambane,Licenciatura,Programador,ONG,Grande/Corporação,Saúde,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Help Desk Technician,Privada,Média,Educação,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,IT MANAGER,Privada,Grande/Corporação,Engenharia,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo província,Licenciatura,Back-End Developer,Privada,Pequena/Startup,IT,0 - 1 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Mobile Developer,Privada,Pequena/Startup,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Banca,6 - 10 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Programador,Privada,Pequena/Startup,IT,0 - 1 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Help Desk Technician,Privada,Pequena/Startup,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Média,IT,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de redes,Privada,Grande/Corporação,IT,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de redes,Privada,Média,IT,0 - 1 anos,0 - 5.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Mobile Developer,Privada,Pequena/Startup,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Full Stack Developer,Privada,Média,Recursos Humanos,0 - 1 anos,0 - 5.000MT,Masculino
Maputo província,Licenciatura,Programador,Privada,Pequena/Startup,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Help Desk Technician,ONG,Grande/Corporação,IT,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Pequena/Startup,IT,0 - 1 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Provedor de soluções de IT,Privada,Média,IT,2 - 3 anos,110.000 - 150.000MT,Masculino
Cabo Delgado,Licenciatura,Programador,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Engenheiro de Software,Privada,Pequena/Startup,IT,4 - 5 anos,110.000 - 150.000MT,Masculino
Maputo província,Licenciatura,Engenheiro de Software,Privada,Grande/Corporação,Banca,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Tech lead,Privada,Grande/Corporação,Comunicação,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,ONG,Média,Saúde,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Privada,Média,ISP,6 - 10 anos,81.000 - 100.000MT,Masculino
Maputo província,Ensino Médio (Técnico),Gestor de projectos,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de redes,Privada,Grande/Corporação,Comunicação,2 - 3 anos,51.000 - 80.000MT,Feminino
Maputo Cidade,Ensino médio (12a Classe),Help Desk Technician,Pública,Grande/Corporação,Banca,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de Sistemas,Privada,Grande/Corporação,IT,6 - 10 anos,51.000 - 80.000MT,Masculino
