Local de trabalho,Nível mais alto de educação,Cargo/Posição,Tipo de empresa,Tamanho da empresa,Indústria,Anos de experiência,Faixa Salarial (Mensal e Líquido),Sexo
Maputo Cidade,Licenciatura,Business Intelligence Developer,Privada,Grande/Corporação,Comunicação,6 - 10 anos,151.000 - 200.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Privada,Pequena/Startup,Saúde,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo província,Licenciatura,Full Stack Developer,Pública,Grande/Corporação,Educação,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de Sistemas,Pública,Grande/Corporação,Saúde,4 - 5 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Head of Development,Pública,Grande/Corporação,Dados geograficos,6 - 10 anos,151.000 - 200.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Pública,Grande/Corporação,Saúde,6 - 10 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Analista de sistemas,Pública,Grande/Corporação,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Zambézia,Ensino médio (12a Classe),Engenheiro de Software,Privada,Pequena/Startup,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Ggg,Pública,Média,IT,6 - 10 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Gestor de projectos,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Licenciatura,Solutions Architech,Privada,Grande/Corporação,IT,6 - 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Técnico de sistemas de apoio ao negócio,Privada,Grande/Corporação,Banca,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Engenheiro de Software,Pública,Grande/Corporação,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Help Desk Technician,Privada,Grande/Corporação,Banca,4 - 5 anos,21.000 - 50.000MT,Feminino
Tete,Licenciatura,Front-End Developer,Privada,Média,Eletricidade,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo província,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Banca,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Privada,Média,Educação,6 - 10 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,UI/UX Designer,Privada,Média,Comunicação,4 - 5 anos,151.000 - 200.000MT,Masculino
Sofala,Licenciatura,Help Desk Technician,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Engenheiro de Software,Pública,Média,IT,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Help Desk Technician,Privada,Grande/Corporação,Banca,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Analista de sistemas,Privada,Grande/Corporação,Comunicação,2 - 3 anos,51.000 - 80.000MT,
Maputo Cidade,Ensino Médio (Técnico),Analista de sistemas,Pública,Pequena/Startup,Educação,0 - 1 anos,0 - 5.000MT,Feminino
Maputo Cidade,Ensino Médio (Técnico),Help Desk Technician,Privada,Média,Banca,0 - 1 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Banca,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Engenheiro de Software,Privada,Grande/Corporação,Combustíveis,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de redes,Privada,Grande/Corporação,Agricultura,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Gestor de projectos,ONG,Pequena/Startup,Saúde,6 - 10 anos,210.000MT - 260.000MT,Masculino
Maputo Cidade,Licenciatura,Help Desk Technician,Privada,Grande/Corporação,Banca,6 - 10 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Mestrado,Quality Assurance/Software Quality,Privada,Média,IT,4 - 5 anos,51.000 - 80.000MT,Feminino
Maputo Cidade,Licenciatura,Administrador de redes,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Licenciatura,Data Scientist,Privada,Grande/Corporação,Comunicação,4 - 5 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),UI/UX Designer,Privada,Grande/Corporação,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Mobile Developer,Privada,Média,Transportes,2 - 3 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Ensino Médio (Técnico),Full Stack Developer,Privada,Pequena/Startup,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Pequena/Startup,Saúde,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,QA Engineer,Privada,Grande/Corporação,Comunicação,4 - 5 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Grande/Corporação,Banca,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Data Modeler,Privada,Grande/Corporação,Banca,Mais de 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,IT,Pública,Média,Outra,2 - 3 anos,51.000 - 80.000MT,Feminino
Maputo Cidade,Licenciatura,Administrador de redes,Privada,Média,Construtoras,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo província,Ensino Médio (Técnico),Analista de sistemas,Privada,Pequena/Startup,Educação,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,ISP,Privada,Média,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Média,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Scrum Master,Privada,Grande/Corporação,Banca,4 - 5 anos,110.000 - 150.000MT,Masculino
Remote,Mestrado,Engenheiro de Software,Privada,Média,IT,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,Privada,Pequena/Startup,IT,6 - 10 anos,110.000 - 150.000MT,Masculino
Sofala,Licenciatura,Administrador de redes,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Sofala,Licenciatura,Help Desk Technician,Privada,Média,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Média,Comunicação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo província,Licenciatura,Full Stack Developer,ONG,Média,Saúde,4 - 5 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Programador,Privada,Média,Comunicação,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Front-End Developer,Privada,Grande/Corporação,Comunicação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Engenheiro de Software,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Média,IT,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo província,Licenciatura,Business Intelligence Developer,Privada,Média,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Privada,Média,Educação,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Analista de sistemas,Privada,Grande/Corporação,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo província,Ensino Médio (Técnico),Programador,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Especialista em Segurança,Privada,Média,Comunicação,2 - 3 anos,11.000 - 20.000MT,Masculino
Sofala,Licenciatura,Administrador de Sistemas,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Sofala,Licenciatura,Programador,Privada,Grande/Corporação,Educação,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Gestor de projectos,Privada,Média,Banca,6 - 10 anos,21.000 - 50.000MT,Masculino
Maputo província,Licenciatura,Full Stack Developer,Privada,Grande/Corporação,Banca,Mais de 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Back-End Developer,Privada,Grande/Corporação,Banca,6 - 10 anos,110.000 - 150.000MT,Masculino
Tete,Ensino médio (12a Classe),Front-End Developer,Privada,Grande/Corporação,Educação,Mais de 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Sofala,Licenciatura,Business Intelligence Developer,Pública,Grande/Corporação,Comunicação,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Help Desk Technician,Privada,Grande/Corporação,Banca,0 - 1 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Média,Transportes,6 - 10 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Information and communication specialist,ONG,Grande/Corporação,Ajuda humanitaria,4 - 5 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Help Desk Technician,Privada,Grande/Corporação,Banca,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Full Stack Developer,Privada,Pequena/Startup,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Business Intelligence Developer,Privada,Grande/Corporação,Consultoria,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Mobile Developer,Privada,Grande/Corporação,Banca,6 - 10 anos,81.000 - 100.000MT,Masculino
Sofala,Licenciatura,Help Desk Technician,Privada,Média,Energia renovavel,2 - 3 anos,21.000 - 50.000MT,
Maputo província,Licenciatura,Administrador de Sistemas,Pública,Grande/Corporação,Comunicação,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Pequena/Startup,IT,6 - 10 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Pública,Grande/Corporação,Comunicação,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Engenheiro de Software,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Product manager,Privada,Grande/Corporação,Comunicação,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Base de Dados,Privada,Grande/Corporação,IT,Mais de 10 anos,151.000 - 200.000MT,Masculino
Maputo província,Licenciatura,Back-End Developer,Privada,Pequena/Startup,Educação,0 - 1 anos,51.000 - 80.000MT,Masculino
Sofala,Ensino médio (12a Classe),Help Desk Technician,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Programador,Privada,Média,Consultoria,Mais de 10 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Feminino
Maputo Cidade,Licenciatura,Administrador de redes,ONG,Média,ONG,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Engenheiro de Software,Privada,Pequena/Startup,IT,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,ONG,Grande/Corporação,Saúde,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo província,Licenciatura,Data Scientist,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Data Scientist,Privada,Grande/Corporação,Banca,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Scrum Master,Privada,Grande/Corporação,Comunicação,Mais de 10 anos,151.000 - 200.000MT,Feminino
Maputo Cidade,Licenciatura,Programador,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo província,Licenciatura,Engenheiro de Software,Privada,Média,Educação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Grande/Corporação,Banca,6 - 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Banca,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Grande/Corporação,Banca,4 - 5 anos,21.000 - 50.000MT,Masculino
Sofala,Licenciatura,Help Desk Technician,Privada,Grande/Corporação,Educação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,Banca,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Tech lead,Privada,Grande/Corporação,Comunicação,6 - 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Gestor de projectos,Privada,Média,Banca,4 - 5 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Privada,Grande/Corporação,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Privada,Pequena/Startup,Segurança Electronica,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,CVM (Customer Value Management Management) Technical,Privada,Grande/Corporação,Telecomunicações,0 - 1 anos,11.000 - 20.000MT,Feminino
Maputo província,Licenciatura,Front-End Developer,Privada,Grande/Corporação,IT,4 - 5 anos,Mais de 300.000MT,Masculino
Maputo Cidade,Licenciatura,Business Intelligence Developer,Privada,Média,Banca,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Mestrado,Gestor de projectos,Privada,Pequena/Startup,IT,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Técnico de Informática,Pública,Grande/Corporação,Comunicação,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Administrador de redes,Privada,Média,IT,2 - 3 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Gestor Técnico,Privada,Média,IT,4 - 5 anos,11.000 - 20.000MT,Masculino
Maputo província,Ensino médio (12a Classe),Mobile Developer,Privada,Grande/Corporação,Banca,Mais de 10 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Pública,Média,Saúde,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo província,Ensino Médio (Técnico),Help Desk Technician,Pública,Média,Sector Público,6 - 10 anos,11.000 - 20.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Privada,Média,Agencia,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Back-End Developer,Privada,Grande/Corporação,IT,6 - 10 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Licenciatura,Front-End Developer,Privada,Média,IT,0 - 1 anos,6.000 - 10.000MT,Masculino
Maputo província,Licenciatura,Front-End Developer,Privada,Média,IT,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Tech lead,Privada,Grande/Corporação,Comunicação,6 - 10 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Média,Banca,2 - 3 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino Médio (Técnico),Back-End Developer,Privada,Média,IT,2 - 3 anos,6.000 - 10.000MT,Masculino
Maputo Cidade,Licenciatura,Full Stack Developer,Pública,Grande/Corporação,Educação,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Programador,Privada,Média,Banca,Mais de 10 anos,151.000 - 200.000MT,Masculino
Sofala,Licenciatura,Gestor de projectos,Privada,Pequena/Startup,IT,4 - 5 anos,0 - 5.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Pública,Grande/Corporação,Comunicação,Mais de 10 anos,81.000 - 100.000MT,Masculino
Maputo Cidade,Licenciatura,Programador,Privada,Grande/Corporação,Hotelaria,4 - 5 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Mestrado,Business Intelligence Developer,Privada,Grande/Corporação,Comunicação,2 - 3 anos,51.000 - 80.000MT,Masculino
Maputo Cidade,Ensino médio (12a Classe),Front-End Developer,Privada,Pequena/Startup,IT,4 - 5 anos,110.000 - 150.000MT,Masculino
Maputo Cidade,Licenciatura,Help Desk Technician,Privada,Grande/Corporação,Recursos minerais,0 - 1 anos,11.000 - 20.000MT,Feminino
Sofala,Licenciatura,Programador,Privada,Média,IT,0 - 1 anos,21.000 - 50.000MT,Masculino
Maputo Cidade,Licenciatura,Administrador de Sistemas,Privada,Média,HR,6 - 10 anos,21.000 - 50.000MT,Masculino